X;Y;facility_id;facility_name;facility_other_names;sub_site_name;sub_site_other_names;facility_type;primary_commodity;commodities_products;facility_equipment;production_start;production_end;activity_status;activity_status_year;surface_area_sq_km;concession_area_sq_km;country;GID_0;GID_1;GID_2;GID_3;GID_4;source_id;comment;;;;;
-101.8794642;54.77481623;COM00001.00;777;;;;Mine;Copper;Copper, Zinc, Gold, Silver;Underground;;;;;;;Canada;CAN;CAN.3_1;CAN.3.13_1;CAN.3.13.2_1;;det_1149;;;;;;
76.2084138;14.22352543;COM00002.00;A Narrain;;;;Mine;Iron;Iron ore;Open pit;;;;;;1.606;India;IND;IND.16_1;IND.16.11_1;IND.16.11.2_1;;det_1307;;;;;;
-107.082901;45.80530543;COM00003.00;Absaloka;;;;Mine;Coal;Sub-bituminous coal;;1974;;;;;;United States of America;USA;USA.27_1;USA.27.2_1;;;det_1427;;;;;;
90.42397344;56.23464336;COM00005.00;Achinsk Alumina Refinery;;;;Refinery;Processing;Alumina, Calcined soda;Sinter plant;1970;;;;;;Russian Federation;RUS;RUS.35_1;RUS.35.2_1;RUS.35.2.1_1;;det_1289;;;;;;
-60.19587801;-33.33965124;COM00006.00;Acindar;;;;Smelter, Refinery;Processing;Steel, rebar, steel bar, steel meshes, wire rod, barbed wire;Direct reduction iron plant, electric arc furnace, ladle furnace, continuous casting, rolling mills, drawing mill;;;;;;;Argentina;ARG;ARG.1_1;ARG.1.111_1;;;det_1219;;;;;;
-43.73906813;-19.86772514;COM00007.00;AGA Mineracao;;;;Mine;Gold;Gold;Underground, Open pit, Heap leaching plant;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.662_1 ;;;;;;;;;
-43.76980021;-19.9094225;COM00007.00;AGA Mineracao;;;;Mine;Gold;Gold;Underground, Open pit, Heap leaching plant;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.662_1 ;;;;;;;;;
-43.51843177;-20.01534391;COM00007.00;AGA Mineracao;;;;Mine;Gold;Gold;Underground, Open pit, Heap leaching plant;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.662_1 ;;;;;;;;;
-43.47251484;-19.9641879;COM00007.00;AGA Mineracao;;;;Mine;Gold;Gold;Underground, Open pit, Heap leaching plant;;;;;;;Brazil;BRA;BRA.13_1;BRA.13.662_1 ;;;;;;;;;
-6.1803272;37.96558483;COM00008.00;Aguablanca;;;;Mine;Nickel;Nickel, Copper, Cobalt, Gold, PGM;Underground;2005;2016;;;;;Spain;ESP;ESP.11_1;ESP.11.1_1;ESP.11.1.10_1;ESP.11.1.10.11_1;det_1205;;;;;;
-2.361317944;6.999829506;COM00009.00;Ahafo;;;;Mine;Gold;Gold;Open pit, Underground;2006;;;;;;Ghana;GHA;GHA.2_1;GHA.2.3_1;;;det_1001;;;;;;
-2.307026405;7.085449219;COM00009.00;Ahafo;;;;Mine;Gold;Gold;Open pit, Underground;2006;;;;;;Ghana;GHA;GHA.2_1;GHA.2.3_1;;;det_1001;;;;;;
-101.4142327;26.87683329;COM00010.00;AHMSA Monclova Steel Plant;;;;Smelter, Refinery;Processing;Crude Steel, Hot-rolled steel sheet, Steel plate, Chrome plate, Tin plate, Cold-rolled sheet, Structural steel profiles;Blast furnace, Basic oxygen furnace, Electric arc furnace, Pellet plant, Sinter plant, Coke plant, Rolling mills, Continuous casters, cold rolling mill;;;;;;;Mexico;MEX;MEX.7_1;MEX.7.6_1 ;;;;;;;;;
-101.4547756;26.88491267;COM00010.00;AHMSA Monclova Steel Plant;;;;Smelter, Refinery;Processing;Crude Steel, Hot-rolled steel sheet, Steel plate, Chrome plate, Tin plate, Cold-rolled sheet, Structural steel profiles;Blast furnace, Basic oxygen furnace, Electric arc furnace, Pellet plant, Sinter plant, Coke plant, Rolling mills, Continuous casters, cold rolling mill;;;;;;;Mexico;MEX;MEX.7_1;MEX.7.6_1 ;;;;;;;;;
-87.44587934;38.62805799;COM00011.00;Air Quality;Air Quality No. 1;;;Mine;Coal;Thermal coal;Underground;;2012;;;;;United States of America;USA;USA.15_1;USA.15.42_1;;;det_1393;;;;;;
150.0286068;-33.11525144;COM00012.00;Airly;;;;Mine;Coal;Coal;Underground;;;;;;;Australia;AUS;AUS.5_1;AUS.5.83_1;;;det_1591;;;;;;
20.963623;67.07507323;COM00013.00;Aitik;;;;Mine;Copper;Copper, Silver, Gold;Open pit;;;;;;;Sweden;SWE;SWE.10_1;SWE.10.5_1;;;det_1124;;;;;;
77.70572872;48.62681863;COM00014.00;Akbastau;;;;Mine;Copper;Copper, Zinc, Gold, Silver;;;;;;;;Kazakhstan;KAZ;KAZ.5_1;KAZ.5.2_1;;;det_1123;;;;;;
79.9318158;46.95242663;COM00015.00;Aktogay;;;;Mine;Copper;Copper, Silver, Copper cathode, Gold;Open pit, Heap leaching plant;2015;;;;;;Kazakhstan;KAZ;KAZ.5_1;KAZ.5.2_1;;;det_1118;;;;;;
-1.0231409;6.345644926;COM00016.00;Akyem;;;;Mine;Gold;Gold;Open pit;2013;;;;;;Ghana;GHA;GHA.4_1;GHA.4.6_1;;;det_1002;;;;;;
43.9866716;27.67162843;COM00017.00;Al Ba’itha;;;;Mine;Aluminium;Bauxite;Open pit;2014;;;;;;Saudi Arabia;SAU;SAU.9_1;;;;det_1270;;;;;;
-108.6626179;26.75193553;COM00018.00;Alamo Dorado;;;;Mine;Silver;Silver, Gold, Copper;Open pit, Leaching plant;2007;2017;;;;;Mexico;MEX;MEX.26_1;MEX.26.3_1;;;det_1383;;;;;;
-48.73373526;-1.554160269;COM00019.00;Albras;;;;Smelter;Processing;Aluminium;;;;;;;;Brazil;BRA;BRA.14_1;BRA.14.18_1;BRA.14.18.2_1;;det_1166;;;;;;
86.32637394;54.61644654;COM00020.00;Alexievskaya;Aleksiyevskaya, Leninskoye;;;Mine;Coal;Coal;;1964;;;;;;Russian Federation;RUS;RUS.27_1;RUS.27.13_1;RUS.27.13.1_1;;det_1574;;;;;;
-8.1532132;37.87661673;COM00021.00;Aljustrel;;;;Mine;Zinc;Zinc, Lead;;2007;;;;;;Portugal;PRT;PRT.3_1;PRT.3.1_1;PRT.3.1.1_1;;det_1207;;;;;;
-71.69084333;48.5855241;COM00022.00;Alma;;;;Smelter;Processing;Aluminium rod, T-foundry, Molten metal, High purity, Remelt;;2000;;;;;;Canada;CAN;CAN.11_1;CAN.11.47_1;CAN.11.47.1_1;;det_1065;;;;;;
-66.43737193;50.16033604;COM00023.00;Alouette;;;;Smelter;Processing;Aluminium high purity, Remelt;;;;;;;;Canada;CAN;CAN.11_1;CAN.11.94_1;CAN.11.94.17_1;;det_1065;;;;;;
-76.4609706;-11.22341497;COM00024.00;Alpamarca;Alpamarca UEA;;;Mine;Silver;Zinc, Silver, Lead, Copper;Open pit, Underground;;2018;;;;;Peru;PER;PER.12_1;PER.12.9_1;PER.12.9.7_1;;det_1375;;;;;;
-77.60824799;17.96791548;COM00025.00;Alpart;Alumina Partners of Jamaica;;;Mine, Refinery;Aluminium;Bauxite, Alumina;;;;;;;;Jamaica;JAM;JAM.9_1;;;;det_1284;;;;;;
